Shoe Number,Type,Price (Â£),Mark-up Percent,Wholesale Price,Retail Price,Size from,Size to,Pairs,Alloc,Grand Total,Value,Total Shoe Value
B014LT,Boys,8.55,24,11.25,0,10,5,392,15,407,3479.85,83516.4
B040F,Boys,7.24,25.74,9.75,0,13,2,0,0,0,0,0
B040F,Boys,7.24,25.74,9.75,0,3,6,284,7,291,2106.84,54230.0616
B040T,Boys,7.24,25.74,9.75,0,13,2,0,0,0,0,0
B040T,Boys,7.24,25.74,9.75,0,3,6,204,48,252,1824.48,46962.1152
B071A,Boys,11.5,26.7,15.69,0,1,6,36,0,36,414,11053.8
B154A,Boys,4,19.19,4.95,0,13,5,41,0,41,164,3147.16
B157A,Boys,8.9,18.72,10.95,0,9,2,63,10,73,649.7,0
B157A,Boys,8.9,18.72,10.95,0,3,6,981,69,1050,9345,9994.7
B370A,Boys,8.3,24.2,10.95,0,10,5,573,18,591,4905.3,118708.26
B370B,Boys,8.4,23.29,10.95,0,11,5,272,4,276,2318.4,53995.536
B430A,Boys,1,74.94,3.99,0,2,2,0,0,0,0,0
B430A,Boys,20.86,19.61,25.95,0,3,5,161,2,163,3400.18,66677.5298
B430A+,Boys,21.86,15.76,25.95,0,6,6,107,0,107,2339.02,0
B430A+,Boys,21.86,18.89,26.95,0,7,12,1015,10,1025,22406.5,24745.52
B430BD,Boys,20.86,19.61,25.95,0,3,5,130,1,131,2732.66,0
B430BD,Boys,21.86,15.76,25.95,0,6,6,64,1,65,1420.9,0
B430BD,Boys,21.86,18.89,26.95,0,7,12,750,8,758,16569.88,20723.44
B430C,Boys,15,39.88,24.95,0,3,6,126,0,126,1890,0
B430C,Boys,15,42.2,25.95,0,7,12,352,0,352,5280,7170
B430F,Boys,15,39.88,24.95,0,3,6,142,0,142,2130,0
B430F,Boys,15,42.2,25.95,0,7,12,388,0,388,5820,7950
B501A,Boys,6.61,19.88,8.25,0,1,6,174,3,177,1169.97,23259.0036
B516A,Boys,8.7,22.67,11.25,0,11,5,1100,28,1128,9813.6,222474.312
B516B,Boys,8.7,22.67,11.25,0,11,5,1544,152,1696,14755.2,334500.384
B516BD,Boys,8.7,22.67,11.25,0,11,5,769,106,875,7612.5,172575.375
B520A,Boys,3,49.58,5.95,0,8,9,0,1,1,3,148.74
B520A,Boys,3,49.58,5.95,0,10,2,0,0,0,0,0
B612A,Boys,6.93,19.32,8.59,0,1,6,710,1,711,4927.23,95194.0836